name,full_name,base,base_name,second,second_name
HKD/HUF,HKD/HUF - Hong Kong Dollar Hungarian Forint,HKD,Hong Kong Dollar,HUF,Hungarian Forint
HKD/ILS,HKD/ILS - Hong Kong Dollar Israeli Shekel,HKD,Hong Kong Dollar,ILS,Israeli Shekel
HKD/ISK,HKD/ISK - Hong Kong Dollar Icelandic Kr,HKD,Hong Kong Dollar,ISK,Icelandic Kr
HKD/JMD,HKD/JMD - Hong Kong Dollar Jamaican Dollar,HKD,Hong Kong Dollar,JMD,Jamaican Dollar
HKD/JOD,HKD/JOD - Hong Kong Dollar Jordan Dinar,HKD,Hong Kong Dollar,JOD,Jordan Dinar
HKD/KES,HKD/KES - Hong Kong Dollar Kenyan Shilling,HKD,Hong Kong Dollar,KES,Kenyan Shilling
HKD/LBP,HKD/LBP - Hong Kong Dollar Lebanese Pound,HKD,Hong Kong Dollar,LBP,Lebanese Pound
HKD/LKR,HKD/LKR - Hong Kong Dollar Sri Lankan Rupee,HKD,Hong Kong Dollar,LKR,Sri Lankan Rupee
HKD/MAD,HKD/MAD - Hong Kong Dollar Moroccan Dirham,HKD,Hong Kong Dollar,MAD,Moroccan Dirham
HKD/NAD,HKD/NAD - Hong Kong Dollar Namibian Dollar,HKD,Hong Kong Dollar,NAD,Namibian Dollar
HKD/NOK,HKD/NOK - Hong Kong Dollar Norwegian Krone,HKD,Hong Kong Dollar,NOK,Norwegian Krone
HKD/NPR,HKD/NPR - Hong Kong Dollar Nepalese Rupee,HKD,Hong Kong Dollar,NPR,Nepalese Rupee
HKD/NZD,HKD/NZD - Hong Kong Dollar New Zealand Dollar,HKD,Hong Kong Dollar,NZD,New Zealand Dollar
HKD/OMR,HKD/OMR - Hong Kong Dollar Omani Rial,HKD,Hong Kong Dollar,OMR,Omani Rial
HKD/PAB,HKD/PAB - Hong Kong Dollar Panamanian Balboa,HKD,Hong Kong Dollar,PAB,Panamanian Balboa
HKD/PHP,HKD/PHP - Hong Kong Dollar Philippine Peso,HKD,Hong Kong Dollar,PHP,Philippine Peso
HKD/QAR,HKD/QAR - Hong Kong Dollar Qatari Riyal,HKD,Hong Kong Dollar,QAR,Qatari Riyal
HKD/RON,HKD/RON - Hong Kong Dollar Romanian Leu,HKD,Hong Kong Dollar,RON,Romanian Leu
HKD/RUB,HKD/RUB - Hong Kong Dollar Russian Ruble,HKD,Hong Kong Dollar,RUB,Russian Ruble
HKD/SAR,HKD/SAR - Hong Kong Dollar Saudi Riyal,HKD,Hong Kong Dollar,SAR,Saudi Riyal
HKD/SEK,HKD/SEK - Hong Kong Dollar Swedish Krona,HKD,Hong Kong Dollar,SEK,Swedish Krona
HKD/SGD,HKD/SGD - Hong Kong Dollar Singapore Dollar,HKD,Hong Kong Dollar,SGD,Singapore Dollar
HKD/TRY,HKD/TRY - Hong Kong Dollar Turkish Lira,HKD,Hong Kong Dollar,TRY,Turkish Lira
HKD/USD,HKD/USD - Hong Kong Dollar US Dollar,HKD,Hong Kong Dollar,USD,US Dollar
HKD/VES,HKD/VES - Hong Kong Dollar Venezuelan Bolivar,HKD,Hong Kong Dollar,VES,Venezuelan Bolivar
HKD/XAF,HKD/XAF - Hong Kong Dollar Central African Franc,HKD,Hong Kong Dollar,XAF,Central African Franc
HKD/XCD,HKD/XCD - Hong Kong Dollar East Caribbean Dollar,HKD,Hong Kong Dollar,XCD,East Caribbean Dollar
HKD/XOF,HKD/XOF - Hong Kong Dollar West African CFA franc,HKD,Hong Kong Dollar,XOF,West African CFA franc
ILS/HKD,ILS/HKD - Israeli Shekel Hong Kong Dollar,ILS,Israeli Shekel,HKD,Hong Kong Dollar
