country,name,full_name,symbol,issuer,isin,asset_class,underlying
germany,BNP ZT RBS TRY TR Index 31Dec99,BNP Paribas Arbitrage Issuance B.V. ZT RBS TRY Total Return Index 31Dec99,DE918722,,,,
germany,BNP Call MSCI Chile Net TR USD,BNP Paribas Arbitrage Issuance B.V. Call MSCI Chile Net TR USD 31Dec99,DEAA2RDE,,,,
germany,BNP ZT RICI Energy ER 31Dec99,BNP Paribas Arbitrage Issuance B.V. ZT RICI Energy ER 31Dec99,DEAA0QL7,,,,
germany,BNP ZT RBS ZAR TR Index 31Dec99,BNP Paribas Arbitrage Issuance B.V. ZT RBS ZAR Total Return Index 31Dec99,DE918556,,,,
germany,BNP ZT RBS Vietnam II TR Index,BNP Paribas Arbitrage Issuance B.V. ZT RBS Vietnam II Total Return Index 31Dec99,DEAA01WG,,,,
germany,Bayerische DJ UBS Crude Oil 3M TR,Bayerische Hypo-und Vereinsbank AG ZT Dow Jones-UBS Crude Oil Subindex 3 Month Forward Total Return,DEHV5BKP,,,,
germany,BNP Call 2260.19 China Enterprises,BNP Paribas Arbitrage Issuance B.V. Call 2260.19 HKD Hang Seng China Enterprises 31Dec99,DE342602,,,,
germany,BNP Call 2457 EUR DAX 31Dec99,BNP Paribas Arbitrage Issuance B.V. Call 2457 EUR DAX 31Dec99,DE721792,,,,
germany,BNP Call 2730 EUR DAX 31Dec99,BNP Paribas Arbitrage Issuance B.V. Call 2730 EUR DAX 31Dec99,DE721791,,,,
germany,DZ ZT Kupfer LME 31Dec99,DZ Bank Zentral-Genossenschaftsbank AG ZT Kupfer LME 31Dec99,DEDZ0CEE,,,,
germany,BNP Call 466.07 NYSE Arca Biotechno,BNP Paribas Arbitrage Issuance B.V. Call 466.07 USD NYSE Arca Biotechnology Index 31Dec99,DE167484,,,,
italy,Vontobel Call VT 7XL DJ 5.71,Vontobel Financial Products GmbH Call VT 7XL DJ 5.71 18Dec20,DEVN9C36,,,,
italy,BNP Call Eurex DAX Future 15Dec21,BNP PARIBAS ISSUANCE Call Eurex DAX Index Future Continuation 1 15Dec21,NL266641,,,,
italy,Vontobel Put 7X Short Natural GasV4,Vontobel Financial Products GmbH Put 7X Short Index linked to Natural Gas (Henry Hub) Future V4 18De,DEVN9KLD,,,,
italy,Vontobel Call VT 7XL SP 500 18Dec20,Vontobel Call VT 7XL SP 500 18Dec20,DEVN9AA1,,,,
italy,Vontobel Call 3X Long UniCr 16Jun23,Vontobel Financial Products GmbH Call 3X Long Index linked to UniCredit SpA 16Jun23,DEVN9D04,,,,
italy,Vontobel Put VT 7XS Wheat 18Dec20,Vontobel Put VT 7XS Wheat 18Dec20,DEVN9ACH,,,,
